Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,External Link,Short Description,Long Description,Thumbnail,Resource Type
Justice for Jacob Blake,justice-for-jacob-blake,5ee4251b187c830b6d64d64d,5f4c6ffaad687b364dc5d5d4,Mon Aug 31 2020 03:35:22 GMT+0000 (Coordinated Universal Time),Mon Aug 31 2020 03:35:30 GMT+0000 (Coordinated Universal Time),Mon Aug 31 2020 03:35:30 GMT+0000 (Coordinated Universal Time),https://www.gofundme.com/f/justiceforjacobblake,"Jacob Blake was shot multiple times in the back by a Kenosha Police Department officer, after breaking up an altercation by an unrelated party. The shooting has now left Jacob critically injured as he fights for his life.","<p>On August 23rd my son was shot multiple times in the back by a Kenosha Police Department officer, after my son broke up an altercation by an unrelated party. The shooting has now left my son critically injured as he fights for his life. The extent of my son’s injuries is unknown, but we remain prayerful as he continues to undergo multiple rounds of operations to save his life. This fund is established to cover my son’s medical expenses, mental and grief counseling for our family and to assist our family in the days to come, as we continue to seek justice for Jacob. A portion of these proceeds will also be used to benefit my son’s six children, some of whom witnessed this horrific act of violence. Anyone wishing to send cards, letters of encouragement and/or contributions in the form of a money order or check, may do so by mail at: Julia Y. Jackson c/o Ben Crump Law, PLLC 122 S. Calhoun Street Tallahassee, FL 32301 Attn: Adner Marcelin</p>",https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5f4c6ff42783aa49765b1517_gofundme.jpg,
Showing Up For Racial Justice,showing-up-for-racial-justice,5ee4251b187c830b6d64d64d,5ee4259902cde776270cf9b1,Sat Jun 13 2020 01:02:17 GMT+0000 (Coordinated Universal Time),Sun Jun 14 2020 01:41:24 GMT+0000 (Coordinated Universal Time),Sun Jun 14 2020 02:32:35 GMT+0000 (Coordinated Universal Time),https://www.showingupforracialjustice.org/donate-to-surj.html,SURJ’s role as part of a multi-racial movement is to undermine white support for white supremacy and to help build a racially-just society.,"<p>SURJ’s role as part of a multi-racial movement is to undermine white support for white supremacy and to help build a racially-just society.That work cannot be done in isolation from or disconnected from the powerful leadership of communities of color. It is one part of a multi-racial, cross-class movement centering the leadership of people of color.Therefore, SURJ believes in resourcing organizing led by people of color, and maintaining strong accountability relationships with organizers and communities of color as central part of our theory of change.SURJ believes that we must ground our organizing in a framework of “mutual interest” -- white supremacy is integral to economic injustice, to maintaining patriarchy and other forms of oppression. Racism and white supremacy keep the many divided for the benefit of the few. We must have an inclusive, open-hearted approach to organizing, calling people into this work rather than creating barriers to participation while maintaining a clear political line. When those of us who are white realize that racial justice is core to our liberation as well, then masses of white people will withdraw support from white supremacy. Together, as part of a powerful multi-racial, cross-class movement for collective liberation we can force the system of white supremacy to crumble.</p>",https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ee580361829abe9b344f043_Showing%20up%20for%20racial%20justice.jpg,Donate
Bay Area Anti-Repression Committee Bail Fund,bay-area-anti-repression-committee-bail-fund,5ee4251b187c830b6d64d64d,5ee425999399330cd2e46aff,Sat Jun 13 2020 01:02:17 GMT+0000 (Coordinated Universal Time),Sun Jun 14 2020 01:43:39 GMT+0000 (Coordinated Universal Time),Sun Jun 14 2020 02:32:35 GMT+0000 (Coordinated Universal Time),https://rally.org/ARCbailfund,Our bail fund is for those that do not have the resources to bail or bond themselves when facing state repression.,"<p>Originally formed to support Occupy Oakland actions, the Bay Area Anti-Repression Committee (ARC) stands against political repression and is in solidarity with all those who challenge the state, capitalism and other forms of systemic oppression and domination. We provide support for actions that are anti-patriarchal, anti-racist, anti-imperialist &amp; anti-capitalist. Our bail fund is for those that do not have the resources to bail or bond themselves when facing state repression.</p>",https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ee580bb7233d091e43e13fa_TB%20Logo.svg,Donate
Fair Fight,fair-fight,5ee4251b187c830b6d64d64d,5ee425981506baafde234dfd,Sat Jun 13 2020 01:02:16 GMT+0000 (Coordinated Universal Time),Sun Jun 14 2020 01:43:25 GMT+0000 (Coordinated Universal Time),Sun Jun 14 2020 02:32:35 GMT+0000 (Coordinated Universal Time),https://secure.actblue.com/donate/fairfight-2020-dtd,"We promote fair elections in Georgia and around the country, encourage voter participation in elections, and educate voters about elections and their voting rights.","<p>We promote fair elections in Georgia and around the country, encourage voter participation in elections, and educate voters about elections and their voting rights. Fair Fight brings awareness to the public on election reform, advocates for election reform at all levels, and engages in other voter education programs and communications.Voter suppression of voters of color and young voters is a scourge our country faces in states across the nation.  Georgia’s 2018 elections shone a bright light on the issue with elections that were rife with mismanagement, irregularities, unbelievably long lines and more, exposing both recent and also decades-long actions and inactions by the state to thwart the right to vote. Georgians and Americans are fighting back. Fair Fight Action engages in voter mobilization and education activities and advocates for progressive issues; in addition Fair Fight Action has mounted significant programs to combat voter suppression in Georgia and nationally.Fair Fight PAC has initiated programs to support voter protection programs at state parties around the country and is engaging in partnerships to support and elect pro voting rights, progressive leaders.</p>",https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ee580bb7233d091e43e13fa_TB%20Logo.svg,Donate
Atlanta Solidarity Fund,atlanta-solidarity-fund,5ee4251b187c830b6d64d64d,5ee425981d5c995c5526f68d,Sat Jun 13 2020 01:02:16 GMT+0000 (Coordinated Universal Time),Sun Jun 14 2020 01:45:00 GMT+0000 (Coordinated Universal Time),Sun Jun 14 2020 02:32:35 GMT+0000 (Coordinated Universal Time),https://actionnetwork.org/fundraising/support-justiceforgeorgefloyd-protesters-in-atlanta,"Contribute to this bail fund to help ensure that if folks are targeted for arrest, we will be able to get them out of jail quickly.","<p>UPDATE: We have enough funds to handle immediate bail needs. Further donations will go towards the long-term expenses of dealing with state repression. We expect this movement to be long-lasting, and people will need support even once they're out of jail, dealing with drawn-out court cases, fees, etc. So we appreciate recurring donations to ensure we can have everyone's backs down the road.Protesters in Atlanta are demanding justice for George Floyd and an end to the system which killed him. Contribute to this bail fund to help ensure that if folks are targeted for arrest, we will be able to get them out of jail quickly.Together, we keep each other safe!</p>",https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ee5811ab71cb4f3917763e6_Atlanta%20Solidarity%20Fund.jpg,Donate
Black Visions Collective,black-visions-collective,5ee4251b187c830b6d64d64d,5ee425989e7c20f46e35fc46,Sat Jun 13 2020 01:02:16 GMT+0000 (Coordinated Universal Time),Sun Jun 14 2020 01:46:01 GMT+0000 (Coordinated Universal Time),Sun Jun 14 2020 02:32:35 GMT+0000 (Coordinated Universal Time),https://secure.everyaction.com/4omQDAR0oUiUagTu0EG-Ig2,"Black Visions Collective (BLVC) believes in a future where all Black people have autonomy, safety is community-led, and we are in right relationship within our ecosystems.","<p>As an organization dedicated to Black liberation and to collective liberation, we need a radical and ongoing investment in our own healing. By claiming love for our own bodies, our own psyches, our own experiences, and by building the resources we need to integrate healing justice into all that we do, we are insisting on conditions that can carry us towards the next generation of work, and towards a deeper place of freedom for all of us. BLVC is committed to a long term vision in which ALL Black lives not only matter, but are able to thrive. What we know to be true in order to create this world is that oppressed people, especially Black people, need to build collective power in order to create systems transformation. Through the development of powerful strategic campaigns, we seek to expand the power of Black people across the Twin Cities metro area and Minnesota. This can look like delivering mobilization and action goals as part of a national coalition in which Black lives are centered, but it most often looks like visioning and leading targeted collaborative local campaigns that advance a concrete impact for people’s lives here, while also advancing a shift in public narrative that connects to transformative long-term change.</p>",https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ee58157187c8316b466996c_Black%20Visions%20Collective.jpg,Donate
Portland Bail Fund,portland-bail-fund,5ee4251b187c830b6d64d64d,5ee4259838b51ed44101d7aa,Sat Jun 13 2020 01:02:16 GMT+0000 (Coordinated Universal Time),Sun Jun 14 2020 01:46:43 GMT+0000 (Coordinated Universal Time),Sun Jun 14 2020 02:32:35 GMT+0000 (Coordinated Universal Time),https://www.gofundme.com/f/pdx-protest-bail-fund,"To cover bail and other legal expenses for protesters arrested in Portland, Oregon in connection to protests against George Floyd's murder by Minneapolis police, along with general police brutality.","<p>The General Defense Committe Local 1 in Portland, Oregon, has established a fundraiser to cover bail and other legal expenses for protesters arrested in Portland, Oregon in connection to protests against George Floyd's murder by Minneapolis police, along with general police brutality. At last count, more than 14 protestors were arrested. We expect that number to rise — processing appears to be unusually slow at the Multnomah County Justice Center.If you get arrested or the police visit or call you because of the protests, please contact the GDC at pdxgdc@riseup.net or 503-442-0866. We will support you through the legal process. Don't talk to the police, especially without legal representation or support. Don’t share pictures of protestors with identifying information (including visible faces).The Portland General Defense Committee (https://pdxgdc.com/) has provided ongoing legal support to workers and protesters in Oregon since 2017, relying on over a century of national experience. The GDC works in connection with the National Lawyers Guild and other Portland-based organizations.</p>",https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ee580bb7233d091e43e13fa_TB%20Logo.svg,Donate
Emergency Release Fund,emergency-release-fund,5ee4251b187c830b6d64d64d,5ee425981506baa684234dfc,Sat Jun 13 2020 01:02:16 GMT+0000 (Coordinated Universal Time),Sun Jun 14 2020 15:56:09 GMT+0000 (Coordinated Universal Time),Sun Jun 14 2020 16:20:03 GMT+0000 (Coordinated Universal Time),https://emergencyreleasefund.com/,The mission of the Emergency Release Fund is to ensure that no trans person at risk in New York City jails remains in detention before trial.,"<p>The mission of the Emergency Release Fund is to ensure that no trans person at risk in New York City jails remains in detention before trial. If ​cash bail is set for a trans person in New York City and no bars to release are in place, ​bail will be paid by the Emergency Release Fund.Trans people experience constant injustice. Behind bars it can be fatal. It’s on us to make sure no one – not one person – falls through the cracks. We can and we will.We need your help to save lives. Please join us.</p>",https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ee64898b6555c8bfb57e13b_emergency%20Release%20fund.jpg,Donate
Missouri Bail Fund,missouri-bail-fund,5ee4251b187c830b6d64d64d,5ee425976775e03d00bd4d33,Sat Jun 13 2020 01:02:15 GMT+0000 (Coordinated Universal Time),Sun Jun 14 2020 01:55:11 GMT+0000 (Coordinated Universal Time),Sun Jun 14 2020 02:32:35 GMT+0000 (Coordinated Universal Time),https://www.gofundme.com/f/mo-black-protester-relief-fund,The Missouri Black Protester Relief Fund (MO-BPRF) is intended to provide support for Black/African people detained by police during peaceful protests and supply essential medical plus food supplies.,"<p>The Missouri Black Protester Relief Fund (MO-BPRF) is intended to provide support for Black/African people detained by police during peaceful protests and supply essential medical plus food supplies.Demonstrations erupted in Kansas City, Missouri and St. Louis, Missouri on Friday, May 29th, and are expected to continue throughout the weekend to voice frustrations about the killings of the unarmed and innocent. Though many sources are intended to bail out protesters, this fund directly supports marginalized folks across I-70.</p>",https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ee583660258e135f6199083_gofundme.jpg,Donate
Memphis Bail Fund,memphis-bail-fund,5ee4251b187c830b6d64d64d,5ee425978c84eba7daf1c890,Sat Jun 13 2020 01:02:15 GMT+0000 (Coordinated Universal Time),Sun Jun 14 2020 02:30:59 GMT+0000 (Coordinated Universal Time),Sun Jun 14 2020 02:32:35 GMT+0000 (Coordinated Universal Time),https://midsouthpeace.org/get-involved/donate-to-support-the-black-lives-matter-community-bail-fund/,Donate to the Black Lives Matter - Community Bail Fund and support our campaign to end money bail and pretrial detention!,"<p>The Mid-South Peace and Justice Center’s mission is to engage, organize and mobilize communities to realize social justice through nonviolent action.We know the people we work with hold the power to initiate and advance positive change in their communities, and it’s these people who must be the leaders in campaigns to improve their lives.We work to create a world without oppression. We recognize that the roots of oppression run deep systemically and within ourselves. We implement strategies of anti-oppression within every facet of our organizing and within our organization itself.The MSPJC was founded on the nonviolent principles of Mohandas Gandhi and Martin Luther King, Jr. We know that the most powerful change can only be brought about using nonviolent means, and we are dedicated to practicing and teaching nonviolent action.</p>",https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ee580bb7233d091e43e13fa_TB%20Logo.svg,Donate
